TRIES;NPS;ARRAY_SIZE;NUMBER_VECTORS;RUNTIME
1; 2; 1000; 1000; 0.027761
1; 2; 5000; 1000; 0.489988
1; 2; 10000; 1000; 1.869117
1; 4; 1000; 1000; 0.060806
1; 4; 5000; 1000; 0.826424
1; 4; 10000; 1000; 2.988040
1; 6; 1000; 1000; 0.103125
1; 6; 5000; 1000; 1.205555
1; 6; 10000; 1000; 4.075033
1; 8; 1000; 1000; 0.123977
1; 8; 5000; 1000; 1.751383
1; 8; 10000; 1000; 5.043820
1; 10; 1000; 1000; 0.145560
1; 10; 5000; 1000; 2.302061
1; 10; 10000; 1000; 6.664332
1; 12; 1000; 1000; 0.175868
1; 12; 5000; 1000; 2.600281
1; 12; 10000; 1000; 7.163176
1; 14; 1000; 1000; 0.197490
1; 14; 5000; 1000; 2.565107
1; 14; 10000; 1000; 8.414328
1; 16; 1000; 1000; 0.215905
1; 16; 5000; 1000; 2.977063
1; 16; 10000; 1000; 9.510310
1; 18; 1000; 1000; 0.228756
1; 18; 5000; 1000; 3.377100
1; 18; 10000; 1000; 10.578164
1; 20; 1000; 1000; 0.230523
1; 20; 5000; 1000; 3.917123
1; 20; 10000; 1000; 11.506142
1; 22; 1000; 1000; 0.268010
1; 22; 5000; 1000; 4.128206
1; 22; 10000; 1000; 12.602196
1; 24; 1000; 1000; 0.280829
1; 24; 5000; 1000; 5.052913
1; 24; 10000; 1000; 13.794215
1; 26; 1000; 1000; 0.319947
1; 26; 5000; 1000; 5.965030
1; 26; 10000; 1000; 14.818140
1; 28; 1000; 1000; 0.348136
1; 28; 5000; 1000; 6.757081
1; 28; 10000; 1000; 16.030195
1; 30; 1000; 1000; 0.370986
1; 30; 5000; 1000; 7.517052
1; 30; 10000; 1000; 17.198086
1; 32; 1000; 1000; 0.390819
1; 32; 5000; 1000; 8.657025
1; 32; 10000; 1000; 18.490215
2; 2; 1000; 1000; 0.026974
2; 2; 5000; 1000; 0.488971
2; 2; 10000; 1000; 1.869269
2; 4; 1000; 1000; 0.074370
2; 4; 5000; 1000; 0.997833
2; 4; 10000; 1000; 3.034978
2; 6; 1000; 1000; 0.106404
2; 6; 5000; 1000; 1.406669
2; 6; 10000; 1000; 4.095433
2; 8; 1000; 1000; 0.124039
2; 8; 5000; 1000; 1.482232
2; 8; 10000; 1000; 5.520326
2; 10; 1000; 1000; 0.128552
2; 10; 5000; 1000; 2.096968
2; 10; 10000; 1000; 6.132187
2; 12; 1000; 1000; 0.174933
2; 12; 5000; 1000; 2.541169
2; 12; 10000; 1000; 7.069998
2; 14; 1000; 1000; 0.183914
2; 14; 5000; 1000; 2.573105
2; 14; 10000; 1000; 8.393602
2; 16; 1000; 1000; 0.188248
2; 16; 5000; 1000; 2.985143
2; 16; 10000; 1000; 9.394021
2; 18; 1000; 1000; 0.206713
2; 18; 5000; 1000; 3.405018
2; 18; 10000; 1000; 10.564335
2; 20; 1000; 1000; 0.211853
2; 20; 5000; 1000; 3.905085
2; 20; 10000; 1000; 11.606130
2; 22; 1000; 1000; 0.242367
2; 22; 5000; 1000; 4.485010
2; 22; 10000; 1000; 12.686075
2; 24; 1000; 1000; 0.274407
2; 24; 5000; 1000; 5.382123
2; 24; 10000; 1000; 13.818213
2; 26; 1000; 1000; 0.306928
2; 26; 5000; 1000; 6.093007
2; 26; 10000; 1000; 14.914115
2; 28; 1000; 1000; 0.329654
2; 28; 5000; 1000; 6.594765
2; 28; 10000; 1000; 16.005931
2; 30; 1000; 1000; 0.350095
2; 30; 5000; 1000; 7.752896
2; 30; 10000; 1000; 17.242148
2; 32; 1000; 1000; 0.390628
2; 32; 5000; 1000; 8.833026
2; 32; 10000; 1000; 18.370068
3; 2; 1000; 1000; 0.027454
3; 2; 5000; 1000; 0.489008
3; 2; 10000; 1000; 1.868771
3; 4; 1000; 1000; 0.071646
3; 4; 5000; 1000; 1.021471
3; 4; 10000; 1000; 2.990424
3; 6; 1000; 1000; 0.102554
3; 6; 5000; 1000; 1.423395
3; 6; 10000; 1000; 4.094994
3; 8; 1000; 1000; 0.107925
3; 8; 5000; 1000; 1.645020
3; 8; 10000; 1000; 5.056785
3; 10; 1000; 1000; 0.143620
3; 10; 5000; 1000; 2.105279
3; 10; 10000; 1000; 6.138313
3; 12; 1000; 1000; 0.211891
3; 12; 5000; 1000; 2.611084
3; 12; 10000; 1000; 7.261629
3; 14; 1000; 1000; 0.171102
3; 14; 5000; 1000; 2.589053
3; 14; 10000; 1000; 8.454344
3; 16; 1000; 1000; 0.201842
3; 16; 5000; 1000; 3.025251
3; 16; 10000; 1000; 9.578246
3; 18; 1000; 1000; 0.205973
3; 18; 5000; 1000; 3.653044
3; 18; 10000; 1000; 10.462237
3; 20; 1000; 1000; 0.246925
3; 20; 5000; 1000; 3.917140
3; 20; 10000; 1000; 11.574188
3; 22; 1000; 1000; 0.270414
3; 22; 5000; 1000; 4.337107
3; 22; 10000; 1000; 12.703215
3; 24; 1000; 1000; 0.307521
3; 24; 5000; 1000; 5.052990
3; 24; 10000; 1000; 13.875168
3; 26; 1000; 1000; 0.315335
3; 26; 5000; 1000; 5.757043
3; 26; 10000; 1000; 14.426147
3; 28; 1000; 1000; 0.340905
3; 28; 5000; 1000; 6.648967
3; 28; 10000; 1000; 16.142090
3; 30; 1000; 1000; 0.357752
3; 30; 5000; 1000; 7.909015
3; 30; 10000; 1000; 17.276305
3; 32; 1000; 1000; 0.404259
3; 32; 5000; 1000; 8.873763
3; 32; 10000; 1000; 18.354182
