TRIES;NPS;ARRAY_SIZE;NUMBER_VECTORS;RUNTIME
1; 2; 1000; 1000; 0.027644
1; 2; 5000; 1000; 0.487994
1; 2; 10000; 1000; 1.870721
1; 4; 1000; 1000; 0.056980
1; 4; 5000; 1000; 1.012741
1; 4; 10000; 1000; 2.998584
1; 6; 1000; 1000; 0.113666
1; 6; 5000; 1000; 1.402606
1; 6; 10000; 1000; 4.116322
1; 8; 1000; 1000; 0.137795
1; 8; 5000; 1000; 1.717129
1; 8; 10000; 1000; 5.030213
1; 10; 1000; 1000; 0.181519
1; 10; 5000; 1000; 2.281318
1; 10; 10000; 1000; 6.122144
1; 12; 1000; 1000; 0.182692
1; 12; 5000; 1000; 2.413091
1; 12; 10000; 1000; 7.214230
1; 14; 1000; 1000; 0.184031
1; 14; 5000; 1000; 2.596235
1; 14; 10000; 1000; 8.389428
1; 16; 1000; 1000; 0.204037
1; 16; 5000; 1000; 2.955884
1; 16; 10000; 1000; 9.466149
1; 18; 1000; 1000; 0.232001
1; 18; 5000; 1000; 3.253293
1; 18; 10000; 1000; 10.534143
1; 20; 1000; 1000; 0.239991
1; 20; 5000; 1000; 3.701060
1; 20; 10000; 1000; 11.550112
1; 22; 1000; 1000; 0.259235
1; 22; 5000; 1000; 4.465014
1; 22; 10000; 1000; 12.694129
1; 24; 1000; 1000; 0.284145
1; 24; 5000; 1000; 5.068985
1; 24; 10000; 1000; 13.922176
1; 26; 1000; 1000; 0.300779
1; 26; 5000; 1000; 6.116976
1; 26; 10000; 1000; 14.977889
1; 28; 1000; 1000; 0.335634
1; 28; 5000; 1000; 6.904645
1; 28; 10000; 1000; 16.117838
1; 30; 1000; 1000; 0.372329
1; 30; 5000; 1000; 7.904992
1; 30; 10000; 1000; 16.802093
1; 32; 1000; 1000; 0.384741
1; 32; 5000; 1000; 8.792994
1; 32; 10000; 1000; 18.406077
2; 2; 1000; 1000; 0.027256
2; 2; 5000; 1000; 0.489045
2; 2; 10000; 1000; 1.870306
2; 4; 1000; 1000; 0.064340
2; 4; 5000; 1000; 0.850267
2; 4; 10000; 1000; 3.034368
2; 6; 1000; 1000; 0.108171
2; 6; 5000; 1000; 1.220999
2; 6; 10000; 1000; 4.148352
2; 8; 1000; 1000; 0.119918
2; 8; 5000; 1000; 1.416148
2; 8; 10000; 1000; 5.034420
2; 10; 1000; 1000; 0.156712
2; 10; 5000; 1000; 2.232062
2; 10; 10000; 1000; 6.085426
2; 12; 1000; 1000; 0.172422
2; 12; 5000; 1000; 2.329056
2; 12; 10000; 1000; 7.213336
2; 14; 1000; 1000; 0.180073
2; 14; 5000; 1000; 2.401073
2; 14; 10000; 1000; 7.965425
2; 16; 1000; 1000; 0.212051
2; 16; 5000; 1000; 3.025234
2; 16; 10000; 1000; 9.458294
2; 18; 1000; 1000; 0.227956
2; 18; 5000; 1000; 3.401088
2; 18; 10000; 1000; 10.598299
2; 20; 1000; 1000; 0.239978
2; 20; 5000; 1000; 4.009104
2; 20; 10000; 1000; 11.522142
2; 22; 1000; 1000; 0.261160
2; 22; 5000; 1000; 4.361010
2; 22; 10000; 1000; 12.258126
2; 24; 1000; 1000; 0.288358
2; 24; 5000; 1000; 5.064944
2; 24; 10000; 1000; 13.997511
2; 26; 1000; 1000; 0.310160
2; 26; 5000; 1000; 5.713103
2; 26; 10000; 1000; 14.926121
2; 28; 1000; 1000; 0.288360
2; 28; 5000; 1000; 6.912910
2; 28; 10000; 1000; 16.121831
2; 30; 1000; 1000; 0.365828
2; 30; 5000; 1000; 7.821001
2; 30; 10000; 1000; 17.357947
2; 32; 1000; 1000; 0.349438
2; 32; 5000; 1000; 9.149096
2; 32; 10000; 1000; 18.006016
3; 2; 1000; 1000; 0.027224
3; 2; 5000; 1000; 0.489515
3; 2; 10000; 1000; 1.869822
3; 4; 1000; 1000; 0.071624
3; 4; 5000; 1000; 0.831356
3; 4; 10000; 1000; 3.000316
3; 6; 1000; 1000; 0.100864
3; 6; 5000; 1000; 1.226135
3; 6; 10000; 1000; 4.097668
3; 8; 1000; 1000; 0.123529
3; 8; 5000; 1000; 1.645116
3; 8; 10000; 1000; 5.054227
3; 10; 1000; 1000; 0.152081
3; 10; 5000; 1000; 1.981119
3; 10; 10000; 1000; 6.182222
3; 12; 1000; 1000; 0.191067
3; 12; 5000; 1000; 2.609416
3; 12; 10000; 1000; 7.154161
3; 14; 1000; 1000; 0.179794
3; 14; 5000; 1000; 2.553044
3; 14; 10000; 1000; 8.412973
3; 16; 1000; 1000; 0.206652
3; 16; 5000; 1000; 2.977088
3; 16; 10000; 1000; 9.478305
3; 18; 1000; 1000; 0.212691
3; 18; 5000; 1000; 3.352110
3; 18; 10000; 1000; 10.502075
3; 20; 1000; 1000; 0.224514
3; 20; 5000; 1000; 3.905007
3; 20; 10000; 1000; 11.669670
3; 22; 1000; 1000; 0.258481
3; 22; 5000; 1000; 4.156987
3; 22; 10000; 1000; 12.638118
3; 24; 1000; 1000; 0.279581
3; 24; 5000; 1000; 5.121208
3; 24; 10000; 1000; 13.782184
3; 26; 1000; 1000; 0.328166
3; 26; 5000; 1000; 6.104923
3; 26; 10000; 1000; 14.618046
3; 28; 1000; 1000; 0.339444
3; 28; 5000; 1000; 6.556027
3; 28; 10000; 1000; 16.186144
3; 30; 1000; 1000; 0.346371
3; 30; 5000; 1000; 7.829102
3; 30; 10000; 1000; 17.314125
3; 32; 1000; 1000; 0.371940
3; 32; 5000; 1000; 8.668963
3; 32; 10000; 1000; 18.327287
